 A | B | C | D | E | F | G | H | 
A |                 
B |                 
C |                 
D |                 
E |                 
F | A               
G |                 
H |                 
 A | B | C | D | E | F | G | H | 
A | A A A A A A A A 
B | A A A A A A A A 
C | A N A A A A A A 
D | A A A N A A A A 
E | N A A A A A A A 
F | A A A A N A A A 
G | A A N A A A A A 
H | A A A A A A A A 
 A | B | C | D | E | F | G | H | 
A |           A     
B |                 
C |                 
D |                 
E |                 
F |                 
G |                 
H |                 
 A | B | C | D | E | F | G | H | 
A | A N A A A A N A 
B | A A A A A A A A 
C | A A A A A A A N 
D | N A A N A A A A 
E | A A A A A A A A 
F | A A A A A A A A 
G | A A A A A A A A 
H | A A A A A A A A 
